Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_189,VPWR,li1,92.6900,84.3200,1.799950
FILLER_27_181,VPWR,li1,90.6200,84.3200,1.799950
FILLER_27_169,VPWR,li1,86.0200,84.3200,1.799950
FILLER_27_165,VPWR,li1,82.1100,84.3200,1.799950
FILLER_27_153,VPWR,li1,78.6600,84.3200,1.799950
FILLER_27_141,VPWR,li1,73.1400,84.3200,1.799950
FILLER_27_138,VPWR,li1,69.4600,84.3200,1.799950
FILLER_27_126,VPWR,li1,66.2400,84.3200,1.799950
FILLER_27_121,VPWR,li1,61.4100,84.3200,1.799950
FILLER_27_113,VPWR,li1,59.3400,84.3200,1.799953
FILLER_27_109,VPWR,li1,56.3500,84.3200,1.799955
FILLER_27_97,VPWR,li1,52.9000,84.3200,1.799958
FILLER_27_85,VPWR,li1,47.3800,84.3200,1.799964
FILLER_27_81,VPWR,li1,43.4700,84.3200,1.799969
FILLER_27_69,VPWR,li1,40.0200,84.3200,1.799971
FILLER_27_57,VPWR,li1,34.5000,84.3200,1.799977
FILLER_27_53,VPWR,li1,30.5900,84.3200,1.799981
FILLER_27_41,VPWR,li1,27.1400,84.3200,1.799984
FILLER_27_29,VPWR,li1,21.6200,84.3200,1.799990
FILLER_27_27,VPWR,li1,18.1700,84.3200,1.799990
FILLER_27_15,VPWR,li1,15.1800,84.3200,1.799990
FILLER_27_3,VPWR,li1,9.6600,84.3200,1.799990
FILLER_26_189,VPWR,li1,92.6900,84.3200,1.799950
FILLER_26_177,VPWR,li1,89.7000,84.3200,1.799950
FILLER_26_165,VPWR,li1,84.1800,84.3200,1.799950
FILLER_26_153,VPWR,li1,78.6600,84.3200,1.799950
FILLER_26_141,VPWR,li1,73.1400,84.3200,1.799950
FILLER_26_139,VPWR,li1,69.6900,84.3200,1.799950
FILLER_26_133,VPWR,li1,68.0800,84.3200,1.799950
FILLER_26_121,VPWR,li1,63.9400,84.3200,1.799950
FILLER_26_109,VPWR,li1,58.4200,84.3200,1.799953
FILLER_26_97,VPWR,li1,52.9000,84.3200,1.799958
FILLER_26_85,VPWR,li1,47.3800,84.3200,1.799964
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.799969
FILLER_26_77,VPWR,li1,42.3200,84.3200,1.799969
FILLER_26_65,VPWR,li1,38.1800,84.3200,1.799973
FILLER_26_53,VPWR,li1,32.6600,84.3200,1.799979
FILLER_26_41,VPWR,li1,27.1400,84.3200,1.799984
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.799990
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.799990
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.799990
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.799990
FILLER_25_189,VPWR,li1,92.6900,78.8800,1.800000
FILLER_25_181,VPWR,li1,90.6200,78.8800,1.800000
FILLER_25_169,VPWR,li1,86.0200,78.8800,1.800000
FILLER_25_167,VPWR,li1,82.5700,78.8800,1.800000
FILLER_25_161,VPWR,li1,80.9600,78.8800,1.800000
FILLER_25_149,VPWR,li1,76.8200,78.8800,1.800000
FILLER_25_137,VPWR,li1,71.3000,78.8800,1.800000
FILLER_25_125,VPWR,li1,65.7800,78.8800,1.800000
FILLER_25_113,VPWR,li1,60.2600,78.8800,1.800000
FILLER_25_111,VPWR,li1,56.8100,78.8800,1.800000
FILLER_25_105,VPWR,li1,55.2000,78.8800,1.800000
FILLER_25_93,VPWR,li1,51.0600,78.8800,1.800000
FILLER_25_81,VPWR,li1,45.5400,78.8800,1.800000
FILLER_25_69,VPWR,li1,40.0200,78.8800,1.800000
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.800000
FILLER_25_55,VPWR,li1,31.0500,78.8800,1.800000
FILLER_25_51,VPWR,li1,29.9000,78.8800,1.800000
FILLER_25_39,VPWR,li1,26.2200,78.8800,1.800000
FILLER_25_27,VPWR,li1,20.7000,78.8800,1.800000
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.800000
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.800000
FILLER_24_189,VPWR,li1,92.6900,78.8800,1.800000
FILLER_24_177,VPWR,li1,89.7000,78.8800,1.800000
FILLER_24_165,VPWR,li1,84.1800,78.8800,1.800000
FILLER_24_153,VPWR,li1,78.6600,78.8800,1.800000
FILLER_24_141,VPWR,li1,73.1400,78.8800,1.800000
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.800000
FILLER_24_133,VPWR,li1,68.0800,78.8800,1.800000
FILLER_24_121,VPWR,li1,63.9400,78.8800,1.800000
FILLER_24_109,VPWR,li1,58.4200,78.8800,1.800000
FILLER_24_97,VPWR,li1,52.9000,78.8800,1.800000
FILLER_24_85,VPWR,li1,47.3800,78.8800,1.800000
FILLER_24_83,VPWR,li1,43.9300,78.8800,1.800000
FILLER_24_77,VPWR,li1,42.3200,78.8800,1.800000
FILLER_24_65,VPWR,li1,38.1800,78.8800,1.800000
FILLER_24_53,VPWR,li1,32.6600,78.8800,1.800000
FILLER_24_41,VPWR,li1,27.1400,78.8800,1.800000
FILLER_24_29,VPWR,li1,21.6200,78.8800,1.800000
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.800000
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.800000
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.800000
FILLER_23_189,VPWR,li1,92.6900,73.4400,1.800000
FILLER_23_181,VPWR,li1,90.6200,73.4400,1.800000
FILLER_23_169,VPWR,li1,86.0200,73.4400,1.800000
FILLER_23_167,VPWR,li1,82.5700,73.4400,1.800000
FILLER_23_161,VPWR,li1,80.9600,73.4400,1.800000
FILLER_23_149,VPWR,li1,76.8200,73.4400,1.800000
FILLER_23_137,VPWR,li1,71.3000,73.4400,1.800000
FILLER_23_125,VPWR,li1,65.7800,73.4400,1.800000
FILLER_23_113,VPWR,li1,60.2600,73.4400,1.800000
FILLER_23_111,VPWR,li1,56.8100,73.4400,1.800000
FILLER_23_105,VPWR,li1,55.2000,73.4400,1.800000
FILLER_23_93,VPWR,li1,51.0600,73.4400,1.800000
FILLER_23_81,VPWR,li1,45.5400,73.4400,1.800000
FILLER_23_69,VPWR,li1,40.0200,73.4400,1.800000
FILLER_23_57,VPWR,li1,34.5000,73.4400,1.800000
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.800000
FILLER_23_51,VPWR,li1,29.9000,73.4400,1.800000
FILLER_23_39,VPWR,li1,26.2200,73.4400,1.800000
FILLER_23_27,VPWR,li1,20.7000,73.4400,1.800000
FILLER_23_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_22_189,VPWR,li1,92.6900,73.4400,1.800000
FILLER_22_177,VPWR,li1,89.7000,73.4400,1.800000
FILLER_22_165,VPWR,li1,84.1800,73.4400,1.800000
FILLER_22_153,VPWR,li1,78.6600,73.4400,1.800000
FILLER_22_141,VPWR,li1,73.1400,73.4400,1.800000
FILLER_22_139,VPWR,li1,69.6900,73.4400,1.800000
FILLER_22_133,VPWR,li1,68.0800,73.4400,1.800000
FILLER_22_121,VPWR,li1,63.9400,73.4400,1.800000
FILLER_22_109,VPWR,li1,58.4200,73.4400,1.800000
FILLER_22_97,VPWR,li1,52.9000,73.4400,1.800000
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.800000
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.800000
FILLER_22_77,VPWR,li1,42.3200,73.4400,1.800000
FILLER_22_65,VPWR,li1,38.1800,73.4400,1.800000
FILLER_22_53,VPWR,li1,32.6600,73.4400,1.800000
FILLER_22_41,VPWR,li1,27.1400,73.4400,1.800000
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_21_189,VPWR,li1,92.6900,68.0000,1.799920
FILLER_21_181,VPWR,li1,90.6200,68.0000,1.799920
FILLER_21_169,VPWR,li1,86.0200,68.0000,1.799925
FILLER_21_167,VPWR,li1,82.5700,68.0000,1.799930
FILLER_21_161,VPWR,li1,80.9600,68.0000,1.799930
FILLER_21_149,VPWR,li1,76.8200,68.0000,1.799934
FILLER_21_137,VPWR,li1,71.3000,68.0000,1.799941
FILLER_21_125,VPWR,li1,65.7800,68.0000,1.799945
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799950
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.799956
FILLER_21_105,VPWR,li1,55.2000,68.0000,1.799956
FILLER_21_93,VPWR,li1,51.0600,68.0000,1.799961
FILLER_21_81,VPWR,li1,45.5400,68.0000,1.799966
FILLER_21_69,VPWR,li1,40.0200,68.0000,1.799971
FILLER_21_57,VPWR,li1,34.5000,68.0000,1.799976
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799981
FILLER_21_51,VPWR,li1,29.9000,68.0000,1.799981
FILLER_21_39,VPWR,li1,26.2200,68.0000,1.799984
FILLER_21_27,VPWR,li1,20.7000,68.0000,1.799990
FILLER_21_15,VPWR,li1,15.1800,68.0000,1.799990
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.799990
FILLER_20_185,VPWR,li1,90.8500,68.0000,1.799920
FILLER_20_177,VPWR,li1,88.7800,68.0000,1.799922
FILLER_20_165,VPWR,li1,84.1800,68.0000,1.799928
FILLER_20_153,VPWR,li1,78.6600,68.0000,1.799932
FILLER_20_141,VPWR,li1,73.1400,68.0000,1.799938
FILLER_20_139,VPWR,li1,69.6900,68.0000,1.799943
FILLER_20_133,VPWR,li1,68.0800,68.0000,1.799943
FILLER_20_121,VPWR,li1,63.9400,68.0000,1.799947
FILLER_20_109,VPWR,li1,58.4200,68.0000,1.799953
FILLER_20_97,VPWR,li1,52.9000,68.0000,1.799958
FILLER_20_85,VPWR,li1,47.3800,68.0000,1.799963
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.799968
FILLER_20_77,VPWR,li1,42.3200,68.0000,1.799968
FILLER_20_65,VPWR,li1,38.1800,68.0000,1.799973
FILLER_20_53,VPWR,li1,32.6600,68.0000,1.799978
FILLER_20_41,VPWR,li1,27.1400,68.0000,1.799984
FILLER_20_29,VPWR,li1,21.6200,68.0000,1.799990
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799990
FILLER_20_15,VPWR,li1,15.1800,68.0000,1.799990
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.799990
FILLER_19_189,VPWR,li1,92.6900,62.5600,1.799884
FILLER_19_181,VPWR,li1,90.6200,62.5600,1.799884
FILLER_19_169,VPWR,li1,86.0200,62.5600,1.799884
FILLER_19_165,VPWR,li1,82.1100,62.5600,1.799884
FILLER_19_157,VPWR,li1,79.5800,62.5600,1.799884
FILLER_19_145,VPWR,li1,74.9800,62.5600,1.799884
FILLER_19_133,VPWR,li1,69.4600,62.5600,1.799884
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.799892
FILLER_19_105,VPWR,li1,55.2000,62.5600,1.799892
FILLER_19_93,VPWR,li1,51.0600,62.5600,1.799900
FILLER_19_81,VPWR,li1,45.5400,62.5600,1.799910
FILLER_19_69,VPWR,li1,40.0200,62.5600,1.799920
FILLER_19_57,VPWR,li1,34.5000,62.5600,1.799933
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799941
FILLER_19_43,VPWR,li1,28.0600,62.5600,1.799951
FILLER_19_31,VPWR,li1,22.5400,62.5600,1.799965
FILLER_19_19,VPWR,li1,17.0200,62.5600,1.799960
FILLER_19_7,VPWR,li1,11.5000,62.5600,1.799955
FILLER_18_189,VPWR,li1,92.6900,62.5600,1.799884
FILLER_18_177,VPWR,li1,89.7000,62.5600,1.799884
FILLER_18_165,VPWR,li1,84.1800,62.5600,1.799884
FILLER_18_153,VPWR,li1,78.6600,62.5600,1.799884
FILLER_18_141,VPWR,li1,73.1400,62.5600,1.799884
FILLER_18_137,VPWR,li1,69.2300,62.5600,1.799884
FILLER_18_125,VPWR,li1,65.7800,62.5600,1.799884
FILLER_18_113,VPWR,li1,60.2600,62.5600,1.799886
FILLER_18_99,VPWR,li1,51.2900,62.5600,1.799900
FILLER_18_93,VPWR,li1,49.6800,62.5600,1.799900
FILLER_18_72,VPWR,li1,41.4000,62.5600,1.799920
FILLER_18_53,VPWR,li1,32.6600,62.5600,1.799941
FILLER_18_41,VPWR,li1,27.1400,62.5600,1.799951
FILLER_18_29,VPWR,li1,21.6200,62.5600,1.799965
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799960
FILLER_18_15,VPWR,li1,15.1800,62.5600,1.799959
FILLER_18_3,VPWR,li1,9.6600,62.5600,1.799953
FILLER_17_189,VPWR,li1,92.6900,57.1200,1.799873
FILLER_17_181,VPWR,li1,90.6200,57.1200,1.799873
FILLER_17_169,VPWR,li1,86.0200,57.1200,1.799873
FILLER_17_167,VPWR,li1,82.5700,57.1200,1.799873
FILLER_17_161,VPWR,li1,80.9600,57.1200,1.799873
FILLER_17_149,VPWR,li1,76.8200,57.1200,1.799873
FILLER_17_137,VPWR,li1,71.3000,57.1200,1.799873
FILLER_17_125,VPWR,li1,65.7800,57.1200,1.799876
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799880
FILLER_17_108,VPWR,li1,56.1200,57.1200,1.799882
FILLER_17_102,VPWR,li1,52.6700,57.1200,1.799886
FILLER_17_90,VPWR,li1,49.6800,57.1200,1.799888
FILLER_17_35,VPWR,li1,21.8500,57.1200,1.799957
FILLER_17_27,VPWR,li1,19.7800,57.1200,1.799957
FILLER_17_15,VPWR,li1,15.1800,57.1200,1.799957
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799957
